"Symbols"
"AEDAUD"
"AEDCAD"
"AEDCHF"
"AEDDKK"
"AEDEUR"
"AEDGBP"
"AEDINR"
"AEDJPY"
"AEDNOK"
"AEDNZD"
"AEDPKR"
"AEDSAR"
"AEDSEK"
"AEDUSD"
"AEDZAR"
"ALLGBP"
"ARSAUD"
"ARSBRL"
"ARSCAD"
"ARSCHF"
"ARSEUR"
"ARSGBP"
"ARSHKD"
"ARSJPY"
"ARSMXN"
"ARSSGD"
"ARSUSD"
"ARSZAR"
"AUDAED"
"AUDARS"
"AUDBRL"
"AUDCAD"
"AUDCHF"
"AUDCNH"
"AUDCNY"
"AUDCZK"
"AUDDKK"
"AUDEUR"
"AUDFJD"
"AUDGBP"
"AUDHKD"
"AUDHUF"
"AUDIDR"
"AUDILS"
"AUDINR"
"AUDJPY"
"AUDKRW"
"AUDMXN"
"AUDMYR"
"AUDNOK"
"AUDNZD"
"AUDPHP"
"AUDPKR"
"AUDPLN"
"AUDSEK"
"AUDSGD"
"AUDTHB"
"AUDTRY"
"AUDTWD"
"AUDUSD"
"AUDZAR"
"AWGUSD""Symbols"
"BDTGBP"
"BDTJPY"
"BGNCNY"
"BGNDKK"
"BGNUSD"
"BHDEUR"
"BHDPKR"
"BHDUSD"
"BNDGBP"
"BRLARS"
"BRLAUD"
"BRLCAD"
"BRLCHF"
"BRLEUR"
"BRLHKD"
"BRLJPY"
"BRLKRW"
"BRLMXN"
"BRLRUB"
"BRLSEK"
"BRLSGD"
"BRLUSD"
"BRLZAR"
"BWPCHF"
"BWPEUR"
"BWPGBP"
"BWPUSD"
"BWPZAR""Symbols"
"CADAED"
"CADARS"
"CADAUD"
"CADBRL"
"CADCHF"
"CADCNH"
"CADCNY"
"CADDKK"
"CADEUR"
"CADGBP"
"CADHKD"
"CADIDR"
"CADILS"
"CADINR"
"CADJPY"
"CADKRW"
"CADKWD"
"CADMXN"
"CADMYR"
"CADNOK"
"CADNZD"
"CADPKR"
"CADPLN"
"CADRUB"
"CADSEK"
"CADSGD"
"CADTHB"
"CADTRY"
"CADTWD"
"CADUSD"
"CADZAR"
"CDFUSD"
"CHFAED"
"CHFARS"
"CHFAUD"
"CHFBRL"
"CHFBWP"
"CHFCAD"
"CHFCNH"
"CHFCNY"
"CHFCZK"
"CHFDKK"
"CHFEUR"
"CHFGBP"
"CHFHKD"
"CHFHUF"
"CHFIDR"
"CHFILS"
"CHFINR"
"CHFJPY"
"CHFKRW"
"CHFMXN"
"CHFMYR"
"CHFNOK"
"CHFNZD"
"CHFPKR"
"CHFPLN"
"CHFRON"
"CHFRUB"
"CHFSEK"
"CHFSGD"
"CHFSZL"
"CHFTHB"
"CHFTRY"
"CHFTWD"
"CHFUSD"
"CHFZAR"
"CLPEUR"
"CLPGBP"
"CLPUSD"
"CNHHKD"
"CNHIDR"
"CNHINR"
"CNHJPY"
"CNHKRW"
"CNHPHP"
"CNHTHB"
"CNHTWD"
"CNYAUD"
"CNYBGN"
"CNYCAD"
"CNYCHF"
"CNYDKK"
"CNYEUR"
"CNYGBP"
"CNYHKD"
"CNYJPY"
"CNYKRW"
"CNYMYR"
"CNYNZD"
"CNYUSD"
"CNYZAR"
"COPDKK"
"CRCGBP"
"CYPZAR"
"CZKCHF"
"CZKDKK"
"CZKEUR"
"CZKJPY"
"CZKMXN"
"CZKNOK"
"CZKPLN"
"CZKSEK"
"CZKUSD""Symbols"
"DJFGBP"
"DKKAED"
"DKKAUD"
"DKKBGN"
"DKKBRL"
"DKKCAD"
"DKKCHF"
"DKKCNY"
"DKKCOP"
"DKKCZK"
"DKKEUR"
"DKKGBP"
"DKKHKD"
"DKKHUF"
"DKKINR"
"DKKISK"
"DKKJPY"
"DKKMXN"
"DKKMYR"
"DKKNOK"
"DKKNZD"
"DKKPHP"
"DKKPKR"
"DKKPLN"
"DKKSEK"
"DKKSGD"
"DKKTHB"
"DKKTRY"
"DKKTWD"
"DKKUAH"
"DKKUSD"
"DKKZAR"
"DOPGBP"
"DZDEUR"
"DZDUSD""Symbols"
"EGPEUR"
"EGPJPY"
"EGPPKR"
"EGPUSD"
"ETBGBP"
"EURAED"
"EURAFN"
"EURALL"
"EURAMD"
"EURARS"
"EURAUD"
"EURBBD"
"EURBDT"
"EURBGN"
"EURBHD"
"EURBIF"
"EURBND"
"EURBOB"
"EURBRL"
"EURBSD"
"EURBWP"
"EURBZD"
"EURCAD"
"EURCHF"
"EURCLP"
"EURCNH"
"EURCNY"
"EURCOP"
"EURCRC"
"EURCUP"
"EURCZK"
"EURDJF"
"EURDKK"
"EURDOP"
"EURDZD"
"EUREGP"
"EURETB"
"EURFJD"
"EURGBP"
"EURGHS"
"EURGMD"
"EURGNF"
"EURGTQ"
"EURHKD"
"EURHNL"
"EURHRK"
"EURHTG"
"EURHUF"
"EURIDR"
"EURILS"
"EURINR"
"EURIQD"
"EURISK"
"EURJMD"
"EURJOD"
"EURJPY"
"EURKES"
"EURKHR"
"EURKRW"
"EURKWD"
"EURKYD"
"EURKZT"
"EURLAK"
"EURLBP"
"EURLKR"
"EURLSL"
"EURLYD"
"EURMAD"
"EURMDL"
"EURMKD"
"EURMMK"
"EURMOP"
"EURMUR"
"EURMVR"
"EURMWK"
"EURMXN"
"EURMYR"
"EURNAD"
"EURNGN"
"EURNIO"
"EURNOK"
"EURNPR"
"EURNZD"
"EUROMR"
"EURPAB"
"EURPEN"
"EURPGK"
"EURPHP"
"EURPKR"
"EURPLN"
"EURPYG"
"EURQAR"
"EURRON"
"EURRSD"
"EURRUB"
"EURRWF"
"EURSAR"
"EURSCR"
"EURSEK"
"EURSGD"
"EURSOS"
"EURSVC"
"EURSZL"
"EURTHB"
"EURTND"
"EURTRY"
"EURTTD"
"EURTWD"
"EURTZS"
"EURUAH"
"EURUGX"
"EURUSD"
